"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-8.949166513E-4,1.933978271E-1,-1.800755310E-1,9.066945190E0,9.070795169E0
9.137083311E-3,2.040257263E-1,-1.984872437E-1,8.985514526E0,8.990021968E0
1.916808332E-2,1.133143616E-1,-2.954855347E-1,9.013955383E0,9.019509050E0
2.920008334E-2,1.309776306E-1,-3.369493103E-1,9.336833954E0,9.343829957E0
3.923108336E-2,2.146536255E-1,-2.992277527E-1,9.736652527E0,9.743614106E0
4.926208331E-2,3.164419556E-1,-2.231858826E-1,9.947563934E0,9.955097974E0
5.929408333E-2,3.900888062E-1,-8.322692871E-2,1.028271698E1,1.029045016E1
6.932508334E-2,4.565505981E-1,-8.083190918E-3,1.048794022E1,1.049787568E1
7.935708330E-2,3.564088440E-1,-5.538482666E-3,1.030756531E1,1.031372680E1
8.938808332E-2,1.939965820E-1,2.694396973E-3,1.006836273E1,1.007023188E1
9.941908333E-2,1.149609375E-1,3.652404785E-2,9.785151672E0,9.785895119E0
1.094510833E-1,7.155120850E-2,4.954696655E-2,9.564809875E0,9.565205823E0
1.194820833E-1,3.038681030E-2,3.173400879E-2,9.504485321E0,9.504586873E0
1.295140833E-1,1.526824951E-2,1.616638184E-2,9.559271393E0,9.559297256E0
1.395450833E-1,4.460723877E-2,-4.340972900E-3,9.633367310E0,9.633471564E0
1.495770834E-1,8.098159790E-2,-1.481918335E-2,9.792636108E0,9.792982160E0
1.596080833E-1,1.082249451E-1,-3.068618774E-2,9.944420471E0,9.945056701E0
1.696390833E-1,1.245410156E-1,-4.221221924E-2,1.004082001E1,1.004168107E1
1.796710833E-1,1.565744019E-1,-6.735992432E-2,1.007150620E1,1.007294842E1
1.897020834E-1,1.673519897E-1,-7.649093628E-2,1.002794678E1,1.002963479E1
1.997340833E-1,1.643582153E-1,-8.412506104E-2,9.968220978E0,9.969930798E0
2.097650833E-1,1.445993042E-1,-7.649093628E-2,9.888436890E0,9.889789884E0
2.197960833E-1,1.375639343E-1,-5.598358154E-2,9.846524048E0,9.847644075E0
2.298280833E-1,1.131646729E-1,-5.837860107E-2,9.776918793E0,9.777747971E0
2.398590833E-1,1.086740112E-1,-6.960525513E-2,9.750423889E0,9.751277914E0
2.498910833E-1,9.774673462E-2,-5.807922363E-2,9.779313812E0,9.779974758E0
2.599220834E-1,9.924362183E-2,-6.511459351E-2,9.866133270E0,9.866847263E0
2.699540833E-1,1.345701599E-1,-7.274871826E-2,9.904004517E0,9.905185862E0
2.799850833E-1,1.396595764E-1,-6.107299805E-2,9.888436890E0,9.889611662E0
2.900160833E-1,1.297801208E-1,-6.152206421E-2,9.851014709E0,9.852061645E0
3.000480834E-1,1.115180969E-1,-7.080276489E-2,9.819131012E0,9.820019509E0
3.100790833E-1,8.592132568E-2,-6.062393188E-2,9.812544708E0,9.813108141E0
3.201110833E-1,9.325607300E-2,-5.164260864E-2,9.819430389E0,9.820009003E0
3.301420833E-1,1.076261902E-1,-4.924758911E-2,9.820777588E0,9.821490781E0
3.401730834E-1,1.121168518E-1,-4.745132446E-2,9.837243347E0,9.837996670E0
3.502050833E-1,1.288819885E-1,-5.822891235E-2,9.861193542E0,9.862207626E0
3.602360833E-1,1.103205872E-1,-4.625381470E-2,9.860445099E0,9.861170701E0
3.702680834E-1,1.034349060E-1,-5.703140259E-2,9.867330780E0,9.868037702E0
3.802990833E-1,1.043330383E-1,-5.658233643E-2,9.870773621E0,9.871487163E0
3.903310833E-1,9.849517822E-2,-5.239105225E-2,9.854307861E0,9.854939348E0
4.003620833E-1,1.044827271E-1,-6.212081909E-2,9.851613464E0,9.852363345E0
4.103930834E-1,7.858657837E-2,-3.667373657E-2,9.851164398E0,9.851546113E0
4.204250833E-1,8.846603394E-2,-4.206253052E-2,9.845176849E0,9.845664157E0
4.304560833E-1,8.367599487E-2,-4.101470947E-2,9.855804749E0,9.856245285E0
4.404880833E-1,8.547225952E-2,-3.382965088E-2,9.872120819E0,9.872548780E0
4.505190834E-1,9.909393311E-2,-4.999603271E-2,9.875114594E0,9.875738324E0
4.605508333E-1,1.049317932E-1,-4.445755005E-2,9.874066772E0,9.874724390E0
4.705828333E-1,9.520202637E-2,-5.508544922E-2,9.873018951E0,9.873631604E0
4.806138334E-1,1.032852173E-1,-5.403762817E-2,9.858948212E0,9.859637303E0
4.906458333E-1,1.055305481E-1,-6.496490479E-2,9.844129028E0,9.844909012E0
5.006768333E-1,1.161584473E-1,-6.646179199E-2,9.839189301E0,9.840099392E0
5.107078333E-1,1.127156067E-1,-7.005432129E-2,9.859846344E0,9.860739442E0
5.207398334E-1,1.197509766E-1,-6.840774536E-2,9.865235138E0,9.866199078E0
5.307708333E-1,1.115180969E-1,-6.691085815E-2,9.859996033E0,9.860853671E0
5.408028333E-1,1.146615601E-1,-6.451583862E-2,9.864935760E0,9.865813049E0
5.508338333E-1,1.007405090E-1,-6.526428223E-2,9.865684204E0,9.866414389E0
5.608658333E-1,8.577163696E-2,-6.451583862E-2,9.858648834E0,9.859233028E0
5.708968333E-1,9.759704590E-2,-6.586303711E-2,9.900861053E0,9.901561126E0
5.809278333E-1,8.801696777E-2,-8.217910767E-2,9.955647125E0,9.956375348E0
5.909598334E-1,8.786727905E-2,-7.050338745E-2,9.908345490E0,9.908985908E0
6.009908333E-1,6.900650024E-2,-5.119354248E-2,9.808652802E0,9.809029129E0
6.110228333E-1,2.409988403E-2,-5.224136353E-2,9.777816925E0,9.777986182E0
6.210538333E-1,3.592529297E-3,-3.607498169E-2,9.788444824E0,9.788511960E0
6.310848334E-1,3.293151855E-3,-2.709365845E-2,9.843081207E0,9.843119047E0
6.411168333E-1,6.825805664E-2,-2.948867798E-2,9.869875488E0,9.870155566E0
6.511478333E-1,7.963439941E-2,-3.248245239E-2,9.819729767E0,9.820106386E0
6.611798333E-1,7.559280396E-2,-3.562591553E-2,9.852960663E0,9.853315041E0
6.712108334E-1,7.723937988E-2,-5.224136353E-2,9.916728058E0,9.917166453E0
6.812418333E-1,1.041833496E-1,-7.379653931E-2,1.002136047E1,1.002217371E1
6.912738333E-1,1.441502380E-1,-9.699829102E-2,1.001222946E1,1.001373690E1
7.013048333E-1,1.437011719E-1,-8.457412720E-2,9.926757202E0,9.928157501E0
7.113368333E-1,8.337661743E-2,-8.696914673E-2,9.838141479E0,9.838879157E0
7.213678333E-1,4.176315308E-2,-9.175918579E-2,9.794731750E0,9.795250582E0
7.313998333E-1,3.203338623E-2,-8.637039185E-2,9.740843811E0,9.741279389E0
7.414308334E-1,6.795867920E-2,-1.089733887E-1,9.726473694E0,9.727321527E0
7.514618333E-1,1.052311707E-1,-1.303788757E-1,9.773925018E0,9.775360991E0
7.614938333E-1,1.483415222E-1,-1.237925720E-1,9.831106110E0,9.833004482E0
7.715248333E-1,1.803749084E-1,-1.142124939E-1,9.859397278E0,9.861708487E0
7.815568334E-1,1.817221069E-1,-9.101074219E-2,9.908495178E0,9.910579326E0
7.915878333E-1,1.709445190E-1,-7.708969116E-2,9.900411987E0,9.902187757E0
8.016188333E-1,1.275347900E-1,-6.436614990E-2,9.904453583E0,9.905483779E0
8.116508333E-1,8.068222046E-2,-5.104385376E-2,9.882000275E0,9.882461461E0
8.216818334E-1,4.655319214E-2,-3.487747192E-2,9.875713348E0,9.875884658E0
8.317138333E-1,3.981719971E-2,-1.047821045E-2,9.869875488E0,9.869961365E0
8.417448333E-1,2.439926147E-2,1.287322998E-2,9.886341248E0,9.886379737E0
8.517768334E-1,3.248245239E-2,7.783813477E-3,9.895621948E0,9.895678321E0
8.618078333E-1,5.957611084E-2,5.239105225E-3,9.917027435E0,9.917207768E0
8.718388333E-1,7.185058594E-2,-2.155517578E-2,9.914482727E0,9.914766506E0
