"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.340566666E-2,1.595681763E-1,8.928932190E-1,9.752070465E0,9.794161458E0
2.343466665E-2,1.493893433E-1,9.081614685E-1,9.960586853E0,1.000301779E1
3.346366667E-2,1.645079041E-1,9.225315857E-1,1.002076172E1,1.006448175E1
4.349366666E-2,1.691482544E-1,9.747729492E-1,9.992470551E0,1.004132766E1
5.352266665E-2,1.351689148E-1,9.794132996E-1,9.891580353E0,9.940869324E0
6.355166667E-2,9.370513916E-2,9.930349731E-1,9.794432373E0,9.845090382E0
7.358166666E-2,8.861572266E-2,9.786648560E-1,9.753118286E0,9.802497332E0
8.361066665E-2,7.319778442E-2,9.550140381E-1,9.719588013E0,9.766667849E0
9.363966667E-2,5.478607178E-2,9.401948547E-1,9.749226379E0,9.794609889E0
1.036686667E-1,8.038284302E-2,9.166937256E-1,9.795779572E0,9.838906758E0
1.136986667E-1,7.768844604E-2,8.771759033E-1,9.833800507E0,9.873150736E0
1.237276667E-1,7.828720093E-2,8.345146179E-1,9.843081207E0,9.878703922E0
1.337566667E-1,8.681945801E-2,8.307723999E-1,9.825717316E0,9.861158206E0
1.437866667E-1,1.178050232E-1,8.276289368E-1,9.819430389E0,9.854951083E0
1.538156667E-1,1.212478638E-1,8.152047729E-1,9.802665253E0,9.837250933E0
1.638446667E-1,1.457968140E-1,8.318202209E-1,9.783355408E0,9.819736484E0
1.738746667E-1,1.573228455E-1,8.433462524E-1,9.802066498E0,9.839537134E0
1.839036667E-1,1.471440125E-1,8.529263306E-1,9.815688171E0,9.853774351E0
1.939326667E-1,1.333726501E-1,8.801696777E-1,9.795929260E0,9.836295898E0
2.039626667E-1,1.300794983E-1,8.922944641E-1,9.801018677E0,9.842412163E0
2.139916667E-1,1.279838562E-1,8.978329468E-1,9.842183075E0,9.883878366E0
2.240206667E-1,1.188528442E-1,8.984317017E-1,9.857900391E0,9.899469967E0
2.340506667E-1,1.094224548E-1,9.195378113E-1,9.867330780E0,9.910688159E0
2.440796667E-1,8.068222046E-2,9.036708069E-1,9.856553192E0,9.898220617E0
2.541086667E-1,5.254074097E-2,9.077124023E-1,9.859097900E0,9.900934993E0
2.641386667E-1,6.586303711E-2,9.020242310E-1,9.847571869E0,9.889017007E0
2.741676667E-1,5.254074097E-2,8.699908447E-1,9.812095642E0,9.850729186E0
2.841966667E-1,4.715194702E-2,8.448431396E-1,9.806856537E0,9.843293065E0
2.942266667E-1,3.607498169E-2,8.472381592E-1,9.810299377E0,9.846882135E0
3.042556667E-1,5.553451538E-2,8.512797546E-1,9.804461517E0,9.841505319E0
3.142846667E-1,3.233276367E-2,8.571176147E-1,9.798623657E0,9.836092801E0
3.243146667E-1,-3.293151855E-3,8.904981995E-1,9.763446808E0,9.803973249E0
3.343436667E-1,-7.334747314E-3,9.256750488E-1,9.766590271E0,9.810362563E0
3.443726667E-1,2.993774414E-2,9.466314697E-1,9.802365875E0,9.848014224E0
3.544026667E-1,4.595443726E-2,9.360035706E-1,9.846524048E0,9.891018669E0
3.644316667E-1,6.301895142E-2,9.265731812E-1,9.851164398E0,9.894844579E0
3.744606667E-1,9.131011963E-2,9.063652039E-1,9.798473969E0,9.840727998E0
3.844906667E-1,9.220825195E-2,9.000782776E-1,9.789792023E0,9.831514182E0
3.945196667E-1,9.310638428E-2,8.720864868E-1,9.829010468E0,9.868062141E0
4.045486667E-1,9.610015869E-2,8.672964478E-1,9.811047821E0,9.849776531E0
4.145786667E-1,6.331832886E-2,8.578660583E-1,9.777218170E0,9.814985407E0
4.246076667E-1,5.388793945E-2,8.586145020E-1,9.716743927E0,9.754754498E0
4.346366667E-1,4.505630493E-2,8.602610779E-1,9.679022369E0,9.717281164E0
4.446666667E-1,7.349716187E-2,8.527766418E-1,9.710457001E0,9.748107765E0
4.546956667E-1,8.517288208E-2,8.613088989E-1,9.826316071E0,9.864359835E0
4.647246667E-1,9.026229858E-2,8.692424011E-1,9.946216736E0,9.984535893E0
4.747546667E-1,9.475296021E-2,8.842112732E-1,9.976902924E0,1.001645644E1
4.847836667E-1,1.029858398E-1,9.159452820E-1,9.898915100E0,9.941734356E0
