"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.954583223E-4,-7.888595581E-1,1.791773987E-1,9.667646027E0,9.701432041E0
1.072645833E-2,-7.306306458E-1,1.917512512E-1,9.668843536E0,9.698305265E0
2.075845830E-2,-7.455995178E-1,1.922003174E-1,9.750274200E0,9.780629151E0
3.078945831E-2,-7.472460938E-1,1.818717957E-1,9.812544708E0,9.842636218E0
4.082145833E-2,-7.098239136E-1,1.851649475E-1,9.875114594E0,9.902324186E0
5.085245834E-2,-6.906637573E-1,1.927990723E-1,9.907147980E0,9.933064432E0
6.088345830E-2,-6.996450806E-1,2.011816406E-1,9.870025177E0,9.896836580E0
7.091545832E-2,-7.054829407E-1,1.908531189E-1,9.804162140E0,9.831364420E0
8.094645833E-2,-7.132667542E-1,1.742376709E-1,9.781409454E0,9.808928542E0
9.097845835E-2,-7.226971436E-1,1.878593445E-1,9.761351166E0,9.789870218E0
1.010094583E-1,-7.300318909E-1,2.107617188E-1,9.761650543E0,9.791179111E0
1.110414583E-1,-7.189549255E-1,1.841171265E-1,9.794582062E0,9.822659165E0
1.210724583E-1,-7.155120850E-1,1.944456482E-1,9.879006500E0,9.906792422E0
1.311034583E-1,-7.135661316E-1,2.065704346E-1,9.911788330E0,9.939587309E0
1.411354583E-1,-7.048841858E-1,2.158511353E-1,9.858349457E0,9.885874136E0
1.511664583E-1,-7.535330200E-1,2.366578674E-1,9.769584045E0,9.801458635E0
1.611984583E-1,-7.851173401E-1,2.415975952E-1,9.705367584E0,9.740068715E0
1.712294583E-1,-7.891589355E-1,2.294728088E-1,9.720037079E0,9.754719392E0
1.812614583E-1,-7.776329041E-1,2.185455322E-1,9.797575836E0,9.830817227E0
1.912924583E-1,-7.352709961E-1,1.950444031E-1,9.803713074E0,9.833181367E0
2.013244584E-1,-7.313790894E-1,1.895059204E-1,9.736951904E0,9.766220367E0
2.113554583E-1,-7.481442261E-1,1.871109009E-1,9.779912567E0,9.810271153E0
2.213864583E-1,-7.494914246E-1,1.730401611E-1,9.886490936E0,9.916369463E0
2.314184583E-1,-7.090754700E-1,1.410067749E-1,9.958790588E0,9.984997792E0
2.414494583E-1,-6.878196716E-1,1.338217163E-1,9.891430664E0,9.916219276E0
2.514814583E-1,-7.203021240E-1,1.233435059E-1,9.835896149E0,9.863006733E0
2.615124583E-1,-7.517367554E-1,1.429527283E-1,9.828262024E0,9.858005784E0
2.715444583E-1,-7.692503357E-1,1.378633118E-1,9.775122528E0,9.806312906E0
2.815754583E-1,-7.683522034E-1,1.513352966E-1,9.689350891E0,9.720945848E0
2.916064583E-1,-7.661068726E-1,1.390608215E-1,9.686656494E0,9.717899551E0
3.016384583E-1,-7.391629028E-1,1.411564636E-1,9.759704590E0,9.788673078E0
3.116694583E-1,-7.102729797E-1,1.374142456E-1,9.827513580E0,9.854105416E0
3.217014583E-1,-6.738986206E-1,1.676513672E-1,9.887089691E0,9.911447366E0
3.317324583E-1,-6.670129395E-1,2.064207458E-1,9.896669769E0,9.921269491E0
3.417642083E-1,-6.975494385E-1,2.125579834E-1,9.871072998E0,9.897971421E0
3.517952083E-1,-7.277865601E-1,2.424957275E-1,9.840686188E0,9.870541125E0
3.618262083E-1,-7.590715027E-1,2.381547546E-1,9.827513580E0,9.859661779E0
3.718582083E-1,-7.586224365E-1,2.215393066E-1,9.830806732E0,9.862522429E0
3.818892083E-1,-7.467970276E-1,1.957928467E-1,9.853409729E0,9.883608851E0
3.919212083E-1,-7.436535645E-1,1.796264648E-1,9.864337006E0,9.893959311E0
4.019522083E-1,-7.300318909E-1,1.407073975E-1,9.873767395E0,9.901718422E0
4.119842083E-1,-7.357200623E-1,1.182540894E-1,9.870025177E0,9.898114216E0
4.220152083E-1,-7.223977661E-1,9.864486694E-2,9.850116577E0,9.877063629E0
4.320462083E-1,-7.129673767E-1,8.876541138E-2,9.815837860E0,9.842097067E0
4.420782083E-1,-7.167095947E-1,1.007405090E-1,9.833950195E0,9.860547537E0
4.521092083E-1,-6.794371033E-1,9.205856323E-2,9.836943970E0,9.860810120E0
4.621412084E-1,-6.914122009E-1,8.442443848E-2,9.826914825E0,9.851570093E0
4.721722083E-1,-6.891668701E-1,9.834548950E-2,9.836195526E0,9.860799422E0
4.822042083E-1,-6.744973755E-1,1.166075134E-1,9.850565643E0,9.874319598E0
4.922352083E-1,-6.730004883E-1,1.019380188E-1,9.860744476E0,9.884209763E0
5.022662084E-1,-6.936575317E-1,1.098715210E-1,9.877958679E0,9.902893526E0
5.122982083E-1,-6.917115784E-1,1.148112488E-1,9.900411987E0,9.925210529E0
5.223292083E-1,-6.957531738E-1,1.378633118E-1,9.880952454E0,9.906376742E0
5.323612083E-1,-7.267387390E-1,1.672023010E-1,9.809850311E0,9.838153736E0
5.423922083E-1,-7.599696350E-1,1.821711731E-1,9.841135254E0,9.872116453E0
5.524242083E-1,-7.583230591E-1,2.085163879E-1,9.841135254E0,9.872511131E0
5.624552083E-1,-7.577243042E-1,2.231858826E-1,9.768236847E0,9.800122915E0
5.724862083E-1,-7.791297913E-1,2.327659607E-1,9.745334473E0,9.779200745E0
5.825182083E-1,-7.695497131E-1,2.149530029E-1,9.784852295E0,9.817420536E0
5.925492083E-1,-7.240443420E-1,1.986369324E-1,9.817185059E0,9.845852899E0
6.025812083E-1,-6.968009949E-1,1.594184875E-1,9.825717316E0,9.851683442E0
6.126122084E-1,-7.116201782E-1,1.345701599E-1,9.852661285E0,9.879243231E0
6.226442083E-1,-7.087760925E-1,1.212478638E-1,9.894424438E0,9.920519118E0
6.326752083E-1,-7.170089722E-1,1.088237000E-1,9.922565918E0,9.949033062E0
6.427062083E-1,-7.039860535E-1,1.098715210E-1,9.928104401E0,9.953638787E0
6.527382083E-1,-7.165599060E-1,1.085243225E-1,9.879006500E0,9.905554253E0
6.627692083E-1,-7.253915405E-1,1.131646729E-1,9.846374359E0,9.873706860E0
