"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.099711250E-1,-6.586303711E-3,-4.390370178E-1,9.806706848E0,9.816531775E0
6.200031250E-1,-2.559677124E-2,-4.230203247E-1,9.910441132E0,9.919498214E0
6.300341250E-1,1.646575928E-3,-4.004173279E-1,9.838590546E0,9.846735534E0
6.400661250E-1,-2.634521484E-2,-3.845503235E-1,9.793833618E0,9.801415712E0
6.500971250E-1,-5.523513794E-2,-3.796105957E-1,9.776020660E0,9.783544096E0
6.601291250E-1,-4.984634399E-2,-3.784130859E-1,9.841135254E0,9.848534115E0
6.701601250E-1,-2.844085693E-2,-3.758683777E-1,9.872420197E0,9.879613680E0
6.801921250E-1,6.586303711E-3,-3.847000122E-1,9.877060547E0,9.884551711E0
6.902241250E-1,3.023712158E-2,-4.111949158E-1,9.919871521E0,9.928436258E0
7.002551250E-1,1.541793823E-2,-4.198768616E-1,9.949659576E0,9.958526998E0
7.102871250E-1,6.286926270E-3,-4.288581848E-1,9.949060822E0,9.958301567E0
7.203181250E-1,4.790039062E-3,-4.409829712E-1,9.900561676E0,9.910378924E0
7.303501250E-1,1.167572021E-2,-4.490661621E-1,9.864636383E0,9.874859377E0
7.403811250E-1,-6.286926270E-3,-4.441264343E-1,9.831405487E0,9.841433923E0
7.504131250E-1,-1.496887207E-2,-4.578977966E-1,9.823172607E0,9.833850443E0
7.604441250E-1,-1.751358032E-2,-4.632865906E-1,9.815239105E0,9.826182366E0
7.704761250E-1,-5.388793945E-3,-4.513114929E-1,9.844877472E0,9.855218087E0
7.805071250E-1,1.945953369E-3,-4.619393921E-1,9.858199768E0,9.869016894E0
7.905391250E-1,3.218307495E-2,-4.592449951E-1,9.838440857E0,9.849206070E0
8.005701250E-1,3.367996216E-2,-4.450245667E-1,9.840237122E0,9.850352675E0
8.106021250E-1,1.167572021E-2,-4.390370178E-1,9.829758911E0,9.839565543E0
8.206341250E-1,4.340972900E-3,-4.423301697E-1,9.818232880E0,9.828192698E0
8.306651250E-1,-1.945953369E-3,-4.312532043E-1,9.800270233E0,9.809754317E0
8.406971250E-1,-6.137237549E-3,-4.266128540E-1,9.816885681E0,9.826152893E0
8.507281250E-1,-5.987548828E-3,-4.174818420E-1,9.830956421E0,9.839818651E0
8.607601250E-1,1.646575928E-3,-4.173321533E-1,9.870474243E0,9.879293022E0
8.707911250E-1,1.332229614E-2,-4.150868225E-1,9.871372375E0,9.880104611E0
8.808231250E-1,2.844085693E-3,-4.203259277E-1,9.875413971E0,9.884355471E0
8.908541250E-1,-3.143463135E-3,-4.120930481E-1,9.854307861E0,9.862921169E0
9.008861250E-1,3.891906738E-3,-4.234693909E-1,9.864037628E0,9.873124116E0
9.109171250E-1,-1.571731567E-2,-4.168830872E-1,9.842931519E0,9.851768340E0
9.209491250E-1,-1.990859985E-2,-4.155358887E-1,9.848619690E0,9.857402103E0
9.309801250E-1,-1.691482544E-2,-4.164340210E-1,9.843530273E0,9.852349550E0
9.410121250E-1,-2.170486450E-2,-4.198768616E-1,9.845925293E0,9.854897897E0
9.510441250E-1,-1.047821045E-2,-4.092489624E-1,9.865684204E0,9.874174361E0
9.610751250E-1,-4.490661621E-3,-4.122427368E-1,9.875413971E0,9.884015648E0
9.711071250E-1,1.571731567E-2,-4.269122314E-1,9.877359924E0,9.886593962E0
9.811381250E-1,3.353027344E-2,-4.158352661E-1,9.874665527E0,9.883474213E0
9.911701250E-1,1.945953369E-2,-4.204756165E-1,9.865684204E0,9.874659651E0
1.001201125E0,3.397933960E-2,-4.204756165E-1,9.856253815E0,9.865277168E0
1.011233125E0,1.422042847E-2,-4.331991577E-1,9.829160156E0,9.838711964E0
1.021264125E0,1.751358032E-2,-4.266128540E-1,9.835596771E0,9.844860035E0
1.031296125E0,2.888992310E-2,-4.388873291E-1,9.876761169E0,9.886549849E0
1.041327125E0,3.008743286E-2,-4.505630493E-1,9.887389069E0,9.897695434E0
1.051359125E0,1.721420288E-2,-4.269122314E-1,9.837991791E0,9.847265248E0
