"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.207916838E-4,6.222560120E-1,-9.520202637E-2,1.011132339E1,1.013089960E1
9.511208336E-3,4.634362793E-1,4.370910645E-2,9.598340149E0,9.609621079E0
1.954220835E-2,3.838018799E-1,2.245330811E-2,9.166637878E0,9.174696618E0
2.957420831E-2,2.486329651E-1,1.422042847E-2,8.979227600E0,8.982680494E0
3.960520832E-2,1.779798889E-1,2.469863892E-2,9.117989044E0,9.119759376E0
4.963720834E-2,2.168989563E-1,8.068222046E-2,9.488917694E0,9.491739239E0
5.966820836E-2,3.373983765E-1,1.127156067E-1,9.918823700E0,9.925200555E0
6.970020832E-2,4.580474854E-1,9.475296021E-2,1.021670425E1,1.022740590E1
7.973120833E-2,5.258564758E-1,5.882766724E-2,1.029229706E1,1.030588979E1
8.976220834E-2,5.390290833E-1,2.724334717E-2,1.020293289E1,1.021719796E1
9.979420836E-2,5.245092773E-1,1.377136230E-2,1.003528152E1,1.004898875E1
1.098252083E-1,4.830455017E-1,1.437011719E-2,9.834848328E0,9.846714228E0
1.198572083E-1,4.131408691E-1,3.367996216E-2,9.683363342E0,9.692231185E0
1.298882084E-1,3.553610229E-1,4.805007935E-2,9.596843262E0,9.603540538E0
1.399202083E-1,3.317102051E-1,6.271957397E-2,9.615704041E0,9.621628220E0
1.499512083E-1,3.474275208E-1,6.481521606E-2,9.748927002E0,9.755331085E0
1.599832083E-1,3.951782227E-1,7.289840698E-2,9.878108368E0,9.886278619E0
1.700142084E-1,4.328997803E-1,7.065307617E-2,9.940079498E0,9.949752485E0
1.800462083E-1,4.499642944E-1,8.173004150E-2,9.964927826E0,9.975416495E0
1.900772083E-1,4.543052673E-1,7.304809570E-2,9.952054596E0,9.962686384E0
2.001082083E-1,4.483177185E-1,7.080276489E-2,9.908495178E0,9.918884943E0
2.101402084E-1,4.444258118E-1,5.942642212E-2,9.880802765E0,9.890971089E0
2.201712083E-1,4.376898193E-1,7.723937988E-2,9.828860779E0,9.838904538E0
2.302032083E-1,4.089495850E-1,8.861572266E-2,9.724677429E0,9.733675750E0
2.402342084E-1,3.826043701E-1,8.038284302E-2,9.738748169E0,9.746592400E0
2.502662083E-1,3.980223083E-1,7.918533325E-2,9.856852570E0,9.865203224E0
2.602972083E-1,4.255650330E-1,5.777984619E-2,9.937385101E0,9.946661086E0
2.703292083E-1,4.848417664E-1,5.104385376E-2,9.875413971E0,9.887440423E0
2.803602084E-1,4.716691589E-1,4.086502075E-2,9.840386810E0,9.851769096E0
