"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.570999972E-3,-3.647914124E-1,8.337661743E-2,1.023137375E1,1.023821436E1
1.160199998E-2,9.654922485E-2,2.418969727E-1,9.942624207E0,9.946034989E0
2.163300000E-2,2.061213684E-1,4.568499756E-1,9.563312988E0,9.576437398E0
3.166499996E-2,4.355941772E-2,5.288502502E-1,9.150022430E0,9.165396363E0
4.169599997E-2,-4.595443726E-2,5.622308350E-1,8.858578491E0,8.876521177E0
5.172699998E-2,-6.346801758E-2,5.560935974E-1,8.781039734E0,8.798859420E0
6.175900000E-2,-5.733078003E-2,5.313949585E-1,9.017996979E0,9.033821834E0
7.178999996E-2,-9.310638428E-2,4.674778748E-1,9.390871582E0,9.402960886E0
8.182199998E-2,-1.228944397E-1,3.941304016E-1,9.764045563E0,9.772769698E0
9.185299999E-2,-1.154100037E-1,3.829037476E-1,1.008093658E1,1.008886600E1
1.018840000E-1,-9.505233765E-2,3.823049927E-1,1.029050079E1,1.029803858E1
1.119160000E-1,-6.915618896E-2,3.917353821E-1,1.040725800E1,1.041485757E1
1.219470000E-1,-1.062789917E-2,4.400848389E-1,1.039363632E1,1.040295456E1
1.319790000E-1,2.993774414E-3,4.760101318E-1,1.025622208E1,1.026726282E1
1.420100000E-1,-2.185455322E-2,4.896318054E-1,1.006611740E1,1.007804229E1
1.520410000E-1,-3.547622681E-2,4.860392761E-1,9.876761169E0,9.888776665E0
1.620730000E-1,-5.403762817E-2,5.387297058E-1,9.729168091E0,9.744221955E0
1.721040000E-1,-8.202941895E-2,5.463638306E-1,9.688901825E0,9.704641201E0
1.821360000E-1,-1.526824951E-1,5.777984619E-1,9.565857697E0,9.584508150E0
1.921670000E-1,-2.453398132E-1,5.653742981E-1,9.427844696E0,9.447967789E0
2.021980000E-1,-3.200344849E-1,5.725593567E-1,9.385632477E0,9.408525032E0
2.122300000E-1,-2.791694641E-1,5.095404053E-1,9.405990143E0,9.423917316E0
2.222610000E-1,-2.049238586E-1,3.844006348E-1,9.748328247E0,9.758056223E0
2.322930000E-1,-1.240919495E-1,2.900967407E-1,1.003363495E1,1.003859478E1
2.423240000E-1,-1.007405090E-1,1.847158813E-1,1.011177246E1,1.011396119E1
2.523550000E-1,-3.382965088E-2,2.371069336E-1,1.018781433E1,1.019062927E1
2.623870000E-1,-7.020401001E-2,3.649411011E-1,1.014724869E1,1.015405173E1
2.724180000E-1,-1.787283325E-1,4.358935547E-1,1.004980133E1,1.006083763E1
2.824500000E-1,-2.552192688E-1,5.004093933E-1,9.966724091E0,9.982541537E0
2.924810000E-1,-2.767744446E-1,5.355862427E-1,9.909842377E0,9.928163609E0
3.025120000E-1,-2.168989563E-1,5.583389282E-1,9.843979340E0,9.862186206E0
3.125440000E-1,-1.562750244E-1,5.641767883E-1,9.773925018E0,9.791441548E0
3.225750000E-1,-1.507365417E-1,5.432203674E-1,9.701176300E0,9.717542461E0
3.326060000E-1,-1.739382935E-1,4.878355408E-1,9.690099335E0,9.703930295E0
3.426380000E-1,-2.004331970E-1,4.400848389E-1,9.695338440E0,9.707390772E0
3.526690000E-1,-2.294728088E-1,4.083508301E-1,9.782906342E0,9.794113776E0
3.627010000E-1,-2.496807861E-1,3.900888062E-1,9.862540741E0,9.873409727E0
3.727320000E-1,-2.263293457E-1,3.537144470E-1,9.914033661E0,9.922923073E0
3.827630000E-1,-2.080673218E-1,3.426374817E-1,9.927805023E0,9.935894778E0
3.927950000E-1,-1.854643250E-1,3.644920349E-1,9.950707397E0,9.959107850E0
4.028260000E-1,-1.663041687E-1,3.748205566E-1,9.937235413E0,9.945692292E0
4.128580000E-1,-1.760339355E-1,4.017645264E-1,9.890382843E0,9.900104821E0
4.228890000E-1,-1.865121460E-1,4.236190796E-1,9.840386810E0,9.851266542E0
4.329200000E-1,-2.022294617E-1,4.376898193E-1,9.809401245E0,9.821243400E0
4.429520000E-1,-2.053729248E-1,4.516108704E-1,9.821376343E0,9.833898702E0
4.529830000E-1,-2.275268555E-1,4.468208313E-1,9.808203735E0,9.821012058E0
4.630150000E-1,-2.326162720E-1,4.601431274E-1,9.730814667E0,9.744464896E0
4.730460000E-1,-2.552192688E-1,4.719685364E-1,9.724976807E0,9.739767198E0
4.830770000E-1,-2.489323425E-1,4.724176025E-1,9.846823425E0,9.861291866E0
4.931090000E-1,-2.225871277E-1,4.649331665E-1,9.926906891E0,9.940281098E0
5.031400000E-1,-1.835183716E-1,4.565505981E-1,9.948312378E0,9.960473714E0
5.131720000E-1,-1.598675537E-1,4.403842163E-1,9.898166656E0,9.909248158E0
