"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.202472083E-1,4.535568237E-2,1.748364258E-1,9.883946228E0,9.885596489E0
6.302782084E-1,2.185455322E-2,1.829196167E-1,9.817185059E0,9.818913366E0
6.403102084E-1,-2.574645996E-2,2.040257263E-1,9.802665253E0,9.804822050E0
6.503412083E-1,-3.727249146E-2,2.212399292E-1,9.829160156E0,9.831720385E0
6.603722083E-1,-5.508544922E-2,2.309696960E-1,9.829160156E0,9.832027806E0
6.704032084E-1,-2.185455322E-2,2.127076721E-1,9.849817200E0,9.852137892E0
6.804342084E-1,1.032852173E-2,1.953437805E-1,9.871072998E0,9.873011091E0
6.904662083E-1,3.861968994E-2,1.709445190E-1,9.890831909E0,9.892384413E0
7.004972083E-1,5.388793945E-2,1.576222229E-1,9.923763428E0,9.925161422E0
7.105285417E-1,5.553451538E-2,1.649569702E-1,9.934990082E0,9.936514621E0
7.205595417E-1,4.670288086E-2,1.722917175E-1,9.918224945E0,9.919831231E0
7.305905417E-1,1.227447510E-2,1.874102783E-1,9.918224945E0,9.920002991E0
7.406225417E-1,1.661544800E-2,2.068698120E-1,9.885892181E0,9.888070358E0
7.506535417E-1,1.407073975E-2,2.207908630E-1,9.860744476E0,9.863226055E0
7.606845417E-1,2.874023438E-2,2.273771667E-1,9.846224670E0,9.848891645E0
7.707155417E-1,1.526824951E-2,2.124082947E-1,9.850865021E0,9.853166601E0
7.807475417E-1,3.263214111E-2,2.163002014E-1,9.861193542E0,9.863619453E0
7.907785417E-1,3.203338623E-2,2.125579834E-1,9.858349457E0,9.860692726E0
8.008095417E-1,1.841171265E-2,2.125579834E-1,9.839638367E0,9.841951182E0
8.108405417E-1,1.481918335E-2,1.838177490E-1,9.822723541E0,9.824454506E0
8.208715417E-1,7.484436035E-4,1.541793823E-1,9.825867004E0,9.827076586E0
8.309035417E-1,-2.095642090E-3,1.386117554E-1,9.829309845E0,9.830287363E0
8.409345417E-1,-7.334747314E-3,1.127156067E-1,9.836943970E0,9.837592453E0
8.509655417E-1,7.634124756E-3,9.235794067E-2,9.861343231E0,9.861778673E0
8.609965417E-1,1.751358032E-2,8.891510010E-2,9.864037628E0,9.864453910E0
8.710285417E-1,2.874023438E-2,9.999206543E-2,9.843679962E0,9.844229762E0
8.810595417E-1,1.257385254E-2,1.213975525E-1,9.817933502E0,9.818692058E0
8.910905417E-1,1.601669312E-2,1.332229614E-1,9.810299377E0,9.811216987E0
9.011215417E-1,2.095642090E-3,1.552272034E-1,9.821376343E0,9.822603175E0
9.111525417E-1,-2.395019531E-3,1.549278259E-1,9.835596771E0,9.836817179E0
9.211845417E-1,-2.125579834E-2,1.525328064E-1,9.841883698E0,9.843088579E0
9.312155417E-1,-2.514770508E-2,1.477427673E-1,9.846673737E0,9.847814174E0
9.412465417E-1,-3.637435913E-2,1.456471252E-1,9.866732025E0,9.867873988E0
9.512775417E-1,-2.829116821E-2,1.634600830E-1,9.883347473E0,9.884739595E0
9.613085417E-1,-2.559677124E-2,1.821711731E-1,9.914632416E0,9.916338915E0
9.713405417E-1,-1.212478638E-2,2.143542480E-1,9.899513855E0,9.901841713E0
9.813715417E-1,-2.844085693E-3,2.459385681E-1,9.855056305E0,9.858125006E0
9.914025417E-1,-1.826202393E-2,2.561174011E-1,9.832303619E0,9.835655753E0
1.001433542E0,-1.691482544E-2,2.451901245E-1,9.824819183E0,9.827892770E0
1.011465542E0,-4.939727783E-3,2.137554932E-1,9.844129028E0,9.846450738E0
1.021496542E0,9.729766846E-3,1.724414062E-1,9.858050079E0,9.859562976E0
1.031527542E0,9.280700684E-3,1.652563477E-1,9.872869263E0,9.874256593E0
1.041558542E0,2.245330811E-2,1.438508606E-1,9.864935760E0,9.866010074E0
1.051589542E0,1.212478638E-2,1.428030396E-1,9.841135254E0,9.842178763E0
1.061621542E0,7.185058594E-3,1.230441284E-1,9.859996033E0,9.860766362E0
1.071652542E0,2.514770508E-2,1.255888367E-1,9.916728058E0,9.917555159E0
1.081683542E0,5.418731689E-2,1.070274353E-1,1.005878265E1,1.005949798E1
1.091714542E0,1.013392639E-1,9.834548950E-2,1.005369324E1,1.005468494E1
1.101746542E0,9.400451660E-2,9.355545044E-2,9.832004242E0,9.832898702E0
1.111777542E0,1.496887207E-4,9.565109253E-2,9.755662994E0,9.756131898E0
1.121808542E0,-3.652404785E-2,1.085243225E-1,9.761949921E0,9.762621461E0
1.131839542E0,-2.559677124E-2,1.199006653E-1,9.817035370E0,9.817800916E0
1.141870542E0,-9.280700684E-3,1.389111328E-1,9.821975098E0,9.822961735E0
1.151902542E0,4.101470947E-2,1.498384094E-1,9.775421906E0,9.776656237E0
1.161933542E0,6.271957397E-2,1.987866211E-1,9.705666962E0,9.707905080E0
1.171964542E0,4.430786133E-2,2.378553772E-1,9.720336456E0,9.723347119E0
1.181995542E0,5.239105225E-3,2.508782959E-1,9.795031128E0,9.798244851E0
1.192026542E0,-2.200424194E-2,2.589614868E-1,9.898316345E0,9.901727713E0
1.202058542E0,-3.861968994E-2,2.469863892E-1,9.950258331E0,9.953398144E0
1.212089542E0,-1.152603149E-2,2.381547546E-1,9.971065063E0,9.973915432E0
1.222120542E0,3.038681030E-2,2.257305908E-1,9.976453857E0,9.979053524E0
