"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.120749967E-3,5.942642212E-1,5.780978394E-1,8.919352112E0,8.957800465E0
1.215274999E-2,3.698808289E-1,6.062393188E-1,8.794511719E0,8.823138575E0
2.218375000E-2,6.930587769E-2,6.153703308E-1,9.050778809E0,9.071939208E0
3.221575002E-2,-8.577163696E-2,5.849835205E-1,9.569749603E0,9.587996139E0
4.224674997E-2,-1.047821045E-2,5.574407959E-1,1.006267456E1,1.007810842E1
5.227874999E-2,1.553768921E-1,5.532495117E-1,1.035681290E1,1.037274315E1
6.230975001E-2,3.427871704E-1,5.713618469E-1,1.038480469E1,1.040615807E1
7.234174997E-2,4.486170959E-1,5.903723145E-1,1.022972717E1,1.025656447E1
8.237274998E-2,4.511618042E-1,6.114784241E-1,1.002420456E1,1.005296622E1
9.240475000E-2,3.571572876E-1,5.816903687E-1,9.839937744E0,9.863584532E0
1.024357500E-1,2.424957275E-1,5.411247253E-1,9.680818634E0,9.698962294E0
1.124677500E-1,1.683998108E-1,5.319937134E-1,9.550290070E0,9.566578083E0
1.224987500E-1,1.254391479E-1,5.001100159E-1,9.531728668E0,9.545663749E0
1.325307500E-1,1.475930786E-1,4.948709106E-1,9.668095093E0,9.681877073E0
1.425617500E-1,2.092648315E-1,4.948709106E-1,9.936187592E0,9.950704138E0
1.525937500E-1,2.947370911E-1,5.025050354E-1,1.018003052E1,1.019668586E1
1.626257500E-1,3.981719971E-1,5.147795105E-1,1.015129028E1,1.017213022E1
1.726567500E-1,3.345542908E-1,4.936734009E-1,9.941726074E0,9.959596244E0
1.826887500E-1,2.423460388E-1,4.584965515E-1,9.791737976E0,9.805461911E0
1.927197500E-1,2.056723022E-1,4.764591980E-1,9.714947662E0,9.728798618E0
2.027517500E-1,2.161505127E-1,5.060975647E-1,9.716294861E0,9.731867324E0
2.127827500E-1,2.606080627E-1,5.131329346E-1,9.724976807E0,9.741991370E0
2.228147500E-1,2.850073242E-1,5.388793945E-1,9.691147156E0,9.710301405E0
2.328457500E-1,2.803669739E-1,5.478607178E-1,9.710007935E0,9.729491821E0
2.428777500E-1,2.573149109E-1,5.989045715E-1,9.774074707E0,9.795786545E0
2.529087500E-1,2.315684509E-1,6.222560120E-1,9.865983582E0,9.888299071E0
2.629407500E-1,2.143542480E-1,6.655160522E-1,9.956096191E0,9.980616751E0
2.729717500E-1,2.116598511E-1,6.710545349E-1,9.976902924E0,1.000168516E1
2.830037500E-1,2.145039368E-1,6.560856628E-1,9.955647125E0,9.979547586E0
2.930347500E-1,2.201921082E-1,6.318360901E-1,9.898316345E0,9.920905598E0
3.030667500E-1,2.411485291E-1,5.951623535E-1,9.871372375E0,9.892237533E0
3.130977500E-1,2.637515259E-1,5.599855042E-1,9.864935760E0,9.884336406E0
3.231297500E-1,2.808160400E-1,4.989125061E-1,9.864037628E0,9.880638120E0
3.331617500E-1,2.752775574E-1,4.767585754E-1,9.859696655E0,9.875054157E0
3.431927500E-1,2.561174011E-1,4.682263184E-1,9.853110352E0,9.867553679E0
3.532247500E-1,2.255809021E-1,4.706213379E-1,9.827663269E0,9.841510886E0
3.632557500E-1,2.309696960E-1,5.046006775E-1,9.800419922E0,9.816119370E0
3.732877500E-1,2.285746765E-1,5.122348022E-1,9.812844086E0,9.828862596E0
