"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.324304166E-1,3.522175598E-1,3.520678711E-1,9.833501129E0,9.846103465E0
6.424614167E-1,3.474275208E-1,3.562591553E-1,9.840237122E0,9.852811430E0
6.524924167E-1,3.520678711E-1,3.420387268E-1,9.855655060E0,9.867871044E0
6.625234167E-1,3.815565491E-1,3.335064697E-1,9.864786072E0,9.877794096E0
6.725544166E-1,3.890409851E-1,3.182382202E-1,9.818831635E0,9.831687705E0
6.825854167E-1,3.718267822E-1,3.113525391E-1,9.793534241E0,9.805534584E0
6.926164167E-1,3.860472107E-1,2.871029663E-1,9.831106110E0,9.842870918E0
7.026474167E-1,4.156855774E-1,2.622546387E-1,9.984686737E0,9.996776542E0
7.126784167E-1,4.617897034E-1,2.573149109E-1,1.004575974E1,1.005965950E1
7.227093333E-1,4.894821167E-1,2.499801636E-1,9.910590820E0,9.925819524E0
7.327403334E-1,4.599934387E-1,2.478845215E-1,9.819580078E0,9.833473120E0
7.427713333E-1,3.998185730E-1,2.538720703E-1,9.798174591E0,9.809614225E0
7.528023333E-1,3.821553040E-1,2.350112915E-1,9.799671478E0,9.809935477E0
7.628333333E-1,4.062551880E-1,2.375559998E-1,9.810748444E0,9.822029381E0
7.728643334E-1,4.342469788E-1,2.582130432E-1,9.807754669E0,9.820758426E0
7.828953333E-1,4.441264343E-1,2.781216431E-1,9.778415680E0,9.792446740E0
7.929263333E-1,4.382885742E-1,3.121009827E-1,9.758207703E0,9.773030311E0
8.029573333E-1,4.150868225E-1,3.520678711E-1,9.792935486E0,9.808049464E0
8.129893334E-1,3.947291565E-1,3.695814514E-1,9.839488678E0,9.854336051E0
8.230203333E-1,3.757186890E-1,3.978726196E-1,9.871222687E0,9.886379746E0
8.330513333E-1,3.484753418E-1,4.210743713E-1,9.897268524E0,9.912349012E0
8.430823333E-1,3.418890381E-1,3.978726196E-1,9.897268524E0,9.911161132E0
8.531133333E-1,3.589535522E-1,3.823049927E-1,9.902657318E0,9.916532999E0
8.631443334E-1,4.022135925E-1,3.737727356E-1,9.925110626E0,9.940286856E0
8.731753333E-1,4.230203247E-1,3.369493103E-1,9.939929810E0,9.954631367E0
8.832063333E-1,4.279600525E-1,3.068618774E-1,9.925859070E0,9.939818524E0
8.932373333E-1,4.360432434E-1,2.766247559E-1,9.883197784E0,9.896678908E0
9.032683333E-1,4.153862000E-1,2.637515259E-1,9.815388794E0,9.827714268E0
9.132993334E-1,4.149371338E-1,2.514770508E-1,9.784103851E0,9.796126873E0
9.233303333E-1,4.013154602E-1,2.433938599E-1,9.790839844E0,9.802083427E0
9.333613333E-1,4.120930481E-1,2.451901245E-1,9.791288910E0,9.803023890E0
9.433923333E-1,4.275109863E-1,2.667453003E-1,9.814191284E0,9.827119072E0
9.534233334E-1,4.517605591E-1,2.791694641E-1,9.844578094E0,9.858891472E0
9.634543333E-1,4.671784973E-1,3.029699707E-1,9.861492920E0,9.877200472E0
9.734853333E-1,4.572990417E-1,3.254232788E-1,9.860594788E0,9.876555690E0
9.835163333E-1,4.290078735E-1,3.580554199E-1,9.816436615E0,9.832328272E0
9.935473333E-1,4.029620361E-1,3.882925415E-1,9.794582062E0,9.810554891E0
1.003578333E0,3.665876770E-1,3.995191956E-1,9.817035370E0,9.831998045E0
1.013609333E0,3.625460815E-1,3.805087280E-1,9.835447083E0,9.849479472E0
1.023640333E0,3.743714905E-1,3.501219177E-1,9.844578094E0,9.857913432E0
1.033671333E0,3.893403625E-1,3.311114502E-1,9.841883698E0,9.855145632E0
1.043702333E0,4.293072510E-1,3.234773254E-1,9.875563660E0,9.890181995E0
1.053733333E0,4.668791199E-1,3.155438232E-1,9.887688446E0,9.903732974E0
1.063765333E0,4.692741394E-1,3.230282593E-1,9.880503387E0,9.896914300E0
1.073796333E0,4.567002869E-1,3.029699707E-1,9.884095917E0,9.899278663E0
1.083827333E0,4.487667847E-1,3.236270142E-1,9.883796539E0,9.899270685E0
1.093858333E0,4.303550720E-1,3.212319946E-1,9.870923309E0,9.885520849E0
1.103889333E0,4.224215698E-1,3.218307495E-1,9.856104126E0,9.870400375E0
1.113920333E0,4.337979126E-1,3.273692322E-1,9.877210236E0,9.892150084E0
1.123951333E0,4.555027771E-1,3.243754578E-1,9.884095917E0,9.899901732E0
1.133982333E0,4.531077576E-1,3.412902832E-1,9.897867279E0,9.914109258E0
1.144013333E0,4.580474854E-1,3.617976379E-1,9.876611481E0,9.893844519E0
1.154044333E0,4.550537109E-1,3.555107117E-1,9.856253815E0,9.873155575E0
1.164075333E0,4.315525818E-1,3.604504395E-1,9.823921051E0,9.839999338E0
1.174106333E0,4.041595459E-1,3.568579102E-1,9.813592529E0,9.828392078E0
1.184137333E0,3.884422302E-1,3.475772095E-1,9.796228638E0,9.810086279E0
1.194168333E0,4.046086121E-1,3.234773254E-1,9.807604980E0,9.821275944E0
1.204199333E0,4.144880676E-1,3.173400879E-1,9.817634125E0,9.831502677E0
1.214230333E0,4.376898193E-1,2.989283752E-1,9.840087433E0,9.854351893E0
1.224261333E0,4.604425049E-1,2.770738220E-1,9.846524048E0,9.861177061E0
1.234292333E0,4.781057739E-1,2.758763123E-1,9.819580078E0,9.835082398E0
1.244323333E0,4.743635559E-1,2.854563904E-1,9.839189301E0,9.854752773E0
1.254354333E0,4.721182251E-1,2.827619934E-1,9.842781830E0,9.858154194E0
1.264385333E0,4.547543335E-1,3.008743286E-1,9.845176849E0,9.860265415E0
1.274416333E0,4.296066284E-1,3.191363525E-1,9.870923309E0,9.885420418E0
1.284447333E0,4.019142151E-1,3.192860413E-1,9.893226929E0,9.906534090E0
1.294479333E0,4.140390015E-1,3.329077148E-1,9.894274750E0,9.908528078E0
1.304510333E0,4.306544495E-1,3.523672485E-1,9.892478485E0,9.908115689E0
1.314541333E0,4.318519592E-1,3.960763550E-1,9.866432648E0,9.883818381E0
1.324572333E0,4.067042542E-1,3.974235535E-1,9.840686188E0,9.857101931E0
1.334603333E0,4.073030090E-1,4.031117249E-1,9.824070740E0,9.840770331E0
1.344634333E0,3.960763550E-1,3.947291565E-1,9.812694397E0,9.828614293E0
1.354665333E0,4.055067444E-1,3.845503235E-1,9.822424164E0,9.838309363E0
1.364696333E0,4.276606750E-1,3.772155762E-1,9.853559418E0,9.870046527E0
1.374727333E0,4.269122314E-1,3.611988831E-1,9.851314087E0,9.867173249E0
1.384758333E0,4.303550720E-1,3.475772095E-1,9.807155914E0,9.822745163E0
1.394789333E0,4.475692749E-1,3.260220337E-1,9.795031128E0,9.810669876E0
1.404820333E0,4.649331665E-1,3.167413330E-1,9.866732025E0,9.882757145E0
1.414851333E0,5.254074097E-1,3.017724609E-1,1.003243744E1,1.005071741E1
1.424882333E0,5.764512634E-1,2.969824219E-1,1.001686981E1,1.003783719E1
1.434913333E0,5.505551147E-1,2.805166626E-1,9.870773621E0,9.890094661E0
1.444944333E0,4.761598206E-1,2.942880249E-1,9.800569611E0,9.816542075E0
1.454975333E0,4.435276794E-1,2.865042114E-1,9.786349182E0,9.800583237E0
1.465006333E0,4.302053833E-1,2.857557678E-1,9.809550934E0,9.823137104E0
1.475037333E0,4.406835938E-1,2.731819153E-1,9.823471985E0,9.837145532E0
1.485068333E0,4.767585754E-1,3.095562744E-1,9.808503113E0,9.824960923E0
1.495099333E0,4.927752686E-1,3.540138245E-1,9.766590271E0,9.785419704E0
1.505130333E0,4.824467468E-1,3.998185730E-1,9.767638092E0,9.787714935E0
1.515161333E0,4.620890808E-1,4.285588074E-1,9.811646576E0,9.831866430E0
1.525192333E0,4.607418823E-1,4.641847229E-1,9.832303619E0,9.854031916E0
1.535224333E0,4.662803650E-1,4.866380310E-1,9.869576111E0,9.892561173E0
1.545255333E0,4.640350342E-1,4.923262024E-1,9.860145721E0,9.883328754E0
1.555286333E0,4.713697815E-1,4.667294312E-1,9.868977356E0,9.891245618E0
1.565317333E0,4.754113770E-1,4.358935547E-1,9.903854828E0,9.924835496E0
1.575348333E0,4.824467468E-1,3.821553040E-1,9.917775879E0,9.936854428E0
1.585379333E0,4.793032837E-1,3.469784546E-1,9.914782104E0,9.932423162E0
1.595410333E0,4.581971741E-1,3.146456909E-1,9.894424438E0,9.910024295E0
1.605441333E0,4.480183411E-1,2.966830444E-1,9.845775604E0,9.860427907E0
1.615472333E0,4.460723877E-1,2.808160400E-1,9.812844086E0,9.826990754E0
1.625503333E0,4.558021545E-1,2.722837830E-1,9.786199493E0,9.800591543E0
1.635534333E0,4.796026611E-1,2.990780640E-1,9.805958405E0,9.822234299E0
1.645565333E0,5.069956970E-1,2.969824219E-1,9.833950195E0,9.851488194E0
1.655596333E0,5.411247253E-1,3.055146790E-1,9.835896149E0,9.855506493E0
1.665627333E0,5.406756592E-1,3.342549133E-1,9.845176849E0,9.865676039E0
1.675658333E0,5.279521179E-1,3.454815674E-1,9.859996033E0,9.880162586E0
1.685689333E0,5.152285767E-1,3.679348755E-1,9.858349457E0,9.878658339E0
1.695720333E0,4.911286926E-1,3.881428528E-1,9.828860779E0,9.848774872E0
1.705751333E0,4.659809875E-1,4.017645264E-1,9.812095642E0,9.831366838E0
1.715782333E0,4.264631653E-1,4.164340210E-1,9.826914825E0,9.844975526E0
1.725813208E0,4.278103638E-1,4.068539429E-1,9.834548950E0,9.852253798E0
1.735844208E0,4.406835938E-1,3.849993896E-1,9.835297394E0,9.852690058E0
1.745875208E0,4.605921936E-1,3.622467041E-1,9.856104126E0,9.873507806E0
1.755906208E0,4.784051514E-1,3.420387268E-1,9.864337006E0,9.881852384E0
1.765937208E0,5.020559692E-1,3.323089600E-1,9.870174866E0,9.888520684E0
