"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.726666815E-4,-1.166075134E-1,-1.731898499E-1,9.779613190E0,9.781841656E0
1.020466670E-2,-1.287322998E-1,-1.167572021E-2,9.613309021E0,9.614178002E0
2.023566671E-2,-1.971400452E-1,-1.137634277E-2,9.428443451E0,9.430511096E0
3.026666667E-2,-3.626957703E-1,-6.017486572E-2,9.246721344E0,9.254027493E0
4.029866669E-2,-3.129991150E-1,-1.939965820E-1,9.305549011E0,9.312832304E0
5.032966670E-2,-2.225871277E-1,-2.366578674E-1,9.589658203E0,9.595160052E0
6.036066671E-2,-1.742376709E-1,-2.177970886E-1,9.917476501E0,9.921397810E0
7.039266668E-2,-6.331832886E-2,-2.612068176E-1,1.009725266E1,1.010082914E1
8.042366669E-2,-1.092727661E-2,-2.972817993E-1,1.019724472E1,1.020158300E1
9.045466670E-2,-2.305206299E-2,-3.303630066E-1,1.020907013E1,1.021443998E1
1.004866667E-1,-1.414558411E-1,-3.273692322E-1,1.012135254E1,1.012763337E1
1.105176667E-1,-2.546205139E-1,-3.097059631E-1,9.973460083E0,9.981515687E0
1.205486667E-1,-3.285667419E-1,-2.827619934E-1,9.820927277E0,9.830489460E0
1.305806667E-1,-3.116519165E-1,-2.231858826E-1,9.700876923E0,9.708447452E0
1.406116667E-1,-2.628533936E-1,-1.920506287E-1,9.619895325E0,9.625401883E0
1.506426667E-1,-2.275268555E-1,-1.616638184E-1,9.602531433E0,9.606586989E0
1.606746667E-1,-2.044747925E-1,-1.351689148E-1,9.658065948E0,9.661175831E0
1.707056667E-1,-2.068698120E-1,-1.466949463E-1,9.749675446E0,9.752973178E0
1.807366667E-1,-1.911524963E-1,-1.544787598E-1,9.854158173E0,9.857222543E0
1.907686667E-1,-1.995350647E-1,-1.884580994E-1,9.947863312E0,9.951648867E0
2.007996667E-1,-1.860630798E-1,-2.149530029E-1,9.996063080E0,1.000010507E1
2.108306667E-1,-1.725910950E-1,-2.215393066E-1,1.000788849E1,1.001182797E1
2.208616667E-1,-1.859133911E-1,-2.154020691E-1,9.981842651E0,9.985897284E0
2.308936667E-1,-1.875599670E-1,-2.053729248E-1,9.908644867E0,9.912547598E0
2.409246667E-1,-2.020797729E-1,-1.829196167E-1,9.855355682E0,9.859124274E0
2.509556667E-1,-2.284249878E-1,-1.743873596E-1,9.798174591E0,9.802388191E0
2.609876667E-1,-2.339634705E-1,-1.670526123E-1,9.782906342E0,9.787129404E0
2.710186667E-1,-2.101629639E-1,-1.871109009E-1,9.784852295E0,9.788897455E0
2.810496667E-1,-2.191442871E-1,-2.049238586E-1,9.789642334E0,9.794238870E0
2.910816667E-1,-2.249821472E-1,-2.116598511E-1,9.804461517E0,9.809326302E0
3.011126667E-1,-2.157014465E-1,-2.333647156E-1,9.858349457E0,9.863469989E0
3.111436667E-1,-1.935475159E-1,-2.387535095E-1,9.919272766E0,9.924033257E0
3.211756667E-1,-1.496887207E-1,-2.216889954E-1,9.941576385E0,9.945174395E0
3.312066667E-1,-1.508862305E-1,-1.968406677E-1,9.913883972E0,9.916985848E0
3.412376667E-1,-1.585203552E-1,-1.754351807E-1,9.847721558E0,9.850559684E0
3.512696667E-1,-1.916015625E-1,-1.552272034E-1,9.794582062E0,9.797685666E0
3.613006667E-1,-2.493814087E-1,-1.567240906E-1,9.770182800E0,9.774621501E0
3.713316667E-1,-2.647993469E-1,-1.758842468E-1,9.801617432E0,9.806771040E0
3.813636667E-1,-2.585124207E-1,-2.028282166E-1,9.848020935E0,9.853501119E0
3.913946667E-1,-2.157014465E-1,-2.290237427E-1,9.837542725E0,9.842572115E0
4.014256667E-1,-2.131567383E-1,-2.213896179E-1,9.792037354E0,9.796858920E0
4.114576667E-1,-2.055226135E-1,-2.113604736E-1,9.842033386E0,9.846447784E0
4.214886667E-1,-1.505868530E-1,-2.216889954E-1,9.988428955E0,9.992023589E0
4.315196667E-1,-9.834548950E-2,-2.140548706E-1,1.009321106E1,1.009595963E1
4.415516667E-1,-1.056802368E-1,-2.116598511E-1,9.977950745E0,9.980754945E0
4.515826667E-1,-1.809736633E-1,-2.112107849E-1,9.744136963E0,9.748105796E0
4.616136667E-1,-2.978805542E-1,-1.845661926E-1,9.619146881E0,9.625527737E0
4.716456667E-1,-3.511697388E-1,-1.830693054E-1,9.692793732E0,9.700880624E0
4.816766667E-1,-2.821632385E-1,-1.823208618E-1,9.848769379E0,9.854497210E0
4.917076667E-1,-1.983375549E-1,-2.154020691E-1,9.967322845E0,9.971622764E0
5.017396667E-1,-1.258882141E-1,-2.408491516E-1,9.975855103E0,9.979556162E0
5.117706667E-1,-9.610015869E-2,-2.484832764E-1,9.893526306E0,9.897112809E0
5.218016667E-1,-1.196012878E-1,-2.233355713E-1,9.840386810E0,9.843647486E0
5.318336667E-1,-1.833686829E-1,-1.769320679E-1,9.838291168E0,9.841590427E0
5.418646667E-1,-2.365081787E-1,-1.329235840E-1,9.845625916E0,9.849363150E0
