"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.298124949E-3,7.532336426E-1,1.092727661E-1,1.056847275E1,1.059584436E1
7.733875012E-3,7.915539551E-1,2.200424194E-1,1.011282028E1,1.014613771E1
1.776487503E-2,7.780819702E-1,3.275189209E-1,9.563462677E0,9.600650945E0
2.779687505E-2,7.186555481E-1,4.385879517E-1,9.096433868E0,9.135312491E0
3.782787500E-2,6.634204102E-1,4.839436340E-1,8.898994446E0,8.936802013E0
4.785987502E-2,6.613247681E-1,5.141807556E-1,9.061406708E0,9.100045265E0
5.789087503E-2,7.336244202E-1,5.049000549E-1,9.424850922E0,9.466833882E0
6.792287505E-2,7.680528259E-1,4.474195862E-1,9.776020660E0,9.816347049E0
7.795387501E-2,7.840695190E-1,3.778143311E-1,1.005249573E1,1.009010302E1
8.798487502E-2,7.914042664E-1,3.323089600E-1,1.017793488E1,1.021406424E1
9.801687504E-2,7.759863281E-1,2.968327332E-1,1.020308258E1,1.023685296E1
1.080478751E-1,7.411088562E-1,2.871029663E-1,1.012748978E1,1.015862784E1
1.180798750E-1,7.366181946E-1,3.052153015E-1,9.962083740E0,9.993941925E0
1.281108750E-1,7.352709961E-1,3.341052246E-1,9.787097626E0,9.820363011E0
1.381428750E-1,7.515870667E-1,3.573069763E-1,9.670340424E0,9.706082387E0
1.481738750E-1,7.466473389E-1,3.821553040E-1,9.607770538E0,9.644313332E0
1.582058750E-1,7.444020081E-1,4.008663940E-1,9.638157349E0,9.675169523E0
1.682368750E-1,7.553292847E-1,4.050576782E-1,9.704020386E0,9.741796841E0
1.782688751E-1,7.577243042E-1,3.842509460E-1,9.803862762E0,9.840605671E0
1.882998750E-1,7.677534485E-1,3.552113342E-1,9.909692688E0,9.945734242E0
1.983318750E-1,7.685018921E-1,3.347039795E-1,9.992021484E0,1.002711899E1
2.083628750E-1,7.665559387E-1,3.393443298E-1,9.987381134E0,1.002250191E1
2.183948750E-1,7.381150818E-1,3.438349915E-1,9.870623932E0,9.904153330E0
2.284258750E-1,7.021897888E-1,3.427871704E-1,9.889035645E0,9.919858846E0
2.384578750E-1,6.852749634E-1,3.591032410E-1,9.844278717E0,9.874633177E0
2.484888750E-1,6.698570251E-1,3.888912964E-1,9.724976807E0,9.755773612E0
2.585208750E-1,6.716532898E-1,3.766168213E-1,9.674232330E0,9.704830218E0
2.685518750E-1,6.744973755E-1,3.743714905E-1,9.735005951E0,9.765523109E0
2.785838750E-1,6.982978821E-1,3.185375977E-1,9.807305603E0,9.837292784E0
2.886148750E-1,7.056326294E-1,3.179388428E-1,9.903854828E0,9.934049676E0
2.986468750E-1,7.188052368E-1,3.098556519E-1,9.909842377E0,9.940707592E0
3.086778750E-1,7.360194397E-1,3.149450684E-1,9.919871521E0,9.952123693E0
3.187098750E-1,7.655081177E-1,3.417393494E-1,9.897717590E0,9.933156697E0
3.287408750E-1,7.538323975E-1,3.734733582E-1,9.848769379E0,9.884634738E0
3.387728750E-1,7.191046143E-1,3.757186890E-1,9.818831635E0,9.852295704E0
3.488036250E-1,7.171586609E-1,3.712280273E-1,9.834698639E0,9.867797328E0
3.588356250E-1,7.017407227E-1,3.468287659E-1,9.880802765E0,9.911760364E0
3.688666250E-1,7.179071045E-1,3.391946411E-1,9.896370392E0,9.928171561E0
3.788986250E-1,7.072792053E-1,3.350033569E-1,9.892478485E0,9.923386604E0
3.889296250E-1,6.795867920E-1,3.409909058E-1,9.872420197E0,9.901656101E0
3.989616250E-1,6.497987366E-1,3.381468201E-1,9.841135254E0,9.868359780E0
4.089926250E-1,6.301895142E-1,3.640429688E-1,9.821975098E0,9.848901509E0
4.190246250E-1,6.268963623E-1,3.716770935E-1,9.780062256E0,9.807179036E0
4.290556250E-1,6.252497864E-1,3.661386108E-1,9.761800232E0,9.788653561E0
4.390876250E-1,6.179150391E-1,3.815565491E-1,9.783654785E0,9.810571102E0
4.491186250E-1,6.325845337E-1,3.576063538E-1,9.817484436E0,9.844340818E0
4.591506250E-1,6.824308777E-1,3.802093506E-1,9.841284943E0,9.872241912E0
4.691816250E-1,7.146139526E-1,3.652404785E-1,9.847721558E0,9.880369102E0
4.792136250E-1,7.355703735E-1,3.623963928E-1,9.847422180E0,9.881503859E0
4.892446250E-1,7.399113464E-1,3.634442139E-1,9.864187317E0,9.898573226E0
4.992766251E-1,7.280859375E-1,3.474275208E-1,9.835746460E0,9.868775174E0
5.093076250E-1,7.219487000E-1,3.219804382E-1,9.824968872E0,9.856718250E0
5.193386250E-1,7.111711121E-1,3.168910217E-1,9.828112335E0,9.858903405E0
5.293706250E-1,6.988966370E-1,2.960842896E-1,9.826465759E0,9.855736996E0
5.394026250E-1,6.912625122E-1,2.990780640E-1,9.820178833E0,9.849020452E0
5.494336250E-1,6.876699829E-1,2.992277527E-1,9.827812958E0,9.856385483E0
5.594646250E-1,6.867718506E-1,2.874023438E-1,9.846074982E0,9.874180889E0
5.694966250E-1,6.869215393E-1,2.875520325E-1,9.868677979E0,9.896734432E0
5.795276250E-1,6.783892822E-1,3.067121887E-1,9.895023193E0,9.922991907E0
