"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.316747083E-1,6.253994751E-1,2.899470520E-1,9.856104126E0,9.880181291E0
6.417057083E-1,6.316864014E-1,2.790197754E-1,9.858050079E0,9.882207806E0
6.517377083E-1,6.101312256E-1,2.757266235E-1,9.828411713E0,9.851190896E0
6.617687083E-1,6.057902527E-1,2.814147949E-1,9.808802490E0,9.831519842E0
6.718000000E-1,5.959107971E-1,2.652484131E-1,9.814939728E0,9.836590276E0
6.818320000E-1,6.253994751E-1,2.739303589E-1,9.850715332E0,9.874348328E0
6.918630000E-1,6.405180359E-1,2.842588806E-1,9.856553192E0,9.881432452E0
7.018949999E-1,6.441105652E-1,2.758763123E-1,9.836345215E0,9.861271386E0
7.119260000E-1,6.559359741E-1,2.829116821E-1,9.855954437E0,9.881807977E0
7.219580000E-1,6.641688538E-1,2.936892700E-1,9.842183075E0,9.868938207E0
7.319890000E-1,6.613247681E-1,2.740800476E-1,9.859247589E0,9.885202747E0
7.420199999E-1,6.727011108E-1,2.686912537E-1,9.855205994E0,9.881791687E0
7.520520000E-1,6.770420837E-1,2.674937439E-1,9.841135254E0,9.868023205E0
7.620830000E-1,6.719526672E-1,2.772235107E-1,9.825268250E0,9.852120048E0
7.721150000E-1,6.433621216E-1,2.966830444E-1,9.803713074E0,9.829279001E0
7.821460000E-1,6.494993591E-1,2.920426941E-1,9.806856537E0,9.832678856E0
7.921780000E-1,6.532415771E-1,2.872526550E-1,9.828860779E0,9.854732003E0
8.022090000E-1,6.774911499E-1,2.942880249E-1,9.864636383E0,9.892252052E0
8.122409999E-1,6.756948853E-1,2.933898926E-1,9.862989807E0,9.890460512E0
8.222720000E-1,6.686595154E-1,3.156935120E-1,9.854008484E0,9.881712966E0
8.323030000E-1,6.635700989E-1,2.847079468E-1,9.854906616E0,9.881324218E0
8.423350000E-1,6.427633667E-1,2.661465454E-1,9.866881714E0,9.891376723E0
8.523659999E-1,6.562353516E-1,2.568658447E-1,9.889185333E0,9.914263031E0
8.623980000E-1,6.677613831E-1,2.577639771E-1,9.870773621E0,9.896692347E0
8.724290000E-1,6.566844177E-1,2.853067017E-1,9.819729767E0,9.845797430E0
8.824610000E-1,6.589297485E-1,2.972817993E-1,9.799521790E0,9.826148390E0
8.924920000E-1,6.652166748E-1,2.872526550E-1,9.785301361E0,9.812092032E0
9.025240000E-1,6.807843018E-1,2.529739380E-1,9.816436615E0,9.843266272E0
9.125550000E-1,7.020401001E-1,2.249821472E-1,9.858948212E0,9.886472430E0
9.225860000E-1,7.262896729E-1,1.966909790E-1,9.876611481E0,9.905232878E0
9.326180000E-1,7.442523193E-1,1.987866211E-1,9.855505371E0,9.885565930E0
9.426490000E-1,7.198530579E-1,2.294728088E-1,9.784253540E0,9.813381860E0
9.526810000E-1,7.321275330E-1,2.170486450E-1,9.791438599E0,9.821170535E0
9.627119999E-1,7.370672607E-1,2.366578674E-1,9.872420197E0,9.902724657E0
9.727440000E-1,7.250921631E-1,2.778222656E-1,9.867929535E0,9.898433066E0
9.827750000E-1,6.818321228E-1,3.200344849E-1,9.811796265E0,9.840663751E0
9.928070000E-1,6.649172974E-1,3.800596619E-1,9.777517548E0,9.807467041E0
1.002838000E0,6.652166748E-1,3.978726196E-1,9.773176575E0,9.803866391E0
1.012869000E0,6.890171814E-1,4.016148376E-1,9.830806732E0,9.863102968E0
1.022901000E0,7.023394775E-1,3.857478333E-1,9.881551208E0,9.913986908E0
1.032932000E0,7.006929016E-1,3.405418396E-1,9.910441132E0,9.941015175E0
1.042964000E0,6.753955078E-1,3.029699707E-1,9.913135529E0,9.940734676E0
1.052995000E0,6.809339905E-1,2.643502808E-1,9.903106384E0,9.930008471E0
1.063027000E0,6.825805664E-1,2.526745605E-1,9.878108368E0,9.904886955E0
1.073058000E0,6.798861694E-1,2.624043274E-1,9.850266266E0,9.877188200E0
1.083089000E0,6.888674927E-1,2.369572449E-1,9.815239105E0,9.842235816E0
1.093121000E0,7.250921631E-1,2.562670898E-1,9.808054047E0,9.838158143E0
1.103152000E0,7.214996338E-1,2.565664673E-1,9.805509338E0,9.835364836E0
1.113184000E0,7.247927856E-1,2.692900085E-1,9.808952179E0,9.839379276E0
1.123215000E0,7.143145752E-1,2.724334717E-1,9.815538483E0,9.845265919E0
1.133247000E0,7.122189331E-1,2.703378296E-1,9.801168365E0,9.830729356E0
1.143278000E0,7.195536804E-1,2.824626160E-1,9.811496887E0,9.841900924E0
1.153310000E0,7.126679993E-1,2.974314880E-1,9.833501129E0,9.863777452E0
1.163341000E0,7.113208008E-1,2.987786865E-1,9.853858795E0,9.884016347E0
1.173372000E0,7.029382324E-1,3.152444458E-1,9.820777588E0,9.850947855E0
1.183404000E0,7.286846924E-1,3.213816833E-1,9.918674011E0,9.950596048E0
1.193435000E0,6.887178040E-1,3.496728516E-1,9.806557159E0,9.836928720E0
1.203467000E0,6.734495544E-1,3.359014893E-1,9.792037354E0,9.820914400E0
1.213498000E0,7.033872986E-1,2.839595032E-1,9.876910858E0,9.905995901E0
1.223530000E0,7.339237976E-1,2.739303589E-1,9.890682220E0,9.921656957E0
1.233561000E0,7.340734863E-1,2.766247559E-1,9.871671753E0,9.902791947E0
1.243593000E0,7.033872986E-1,2.909948730E-1,9.846074982E0,9.875455648E0
1.253624000E0,7.083270264E-1,2.935395813E-1,9.849068756E0,9.878868762E0
