"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.702082952E-4,1.368154907E0,-7.807763672E-1,1.016236725E1,1.028373316E1
9.561791667E-3,1.373693390E0,-7.373666382E-1,9.935738525E0,1.005731789E1
1.959279168E-2,1.345551910E0,-6.147715759E-1,9.656868439E0,9.769522101E0
2.962379169E-2,1.325044556E0,-4.770579529E-1,9.378896484E0,9.484040628E0
3.965579171E-2,1.321751404E0,-3.755690002E-1,9.193282471E0,9.295403242E0
4.968679167E-2,1.373992767E0,-3.707789612E-1,9.120384064E0,9.230749625E0
5.971779168E-2,1.436862030E0,-3.951782227E-1,9.131910095E0,9.252703405E0
6.974979170E-2,1.445244598E0,-4.315525818E-1,9.257648621E0,9.379713618E0
7.978079171E-2,1.424737244E0,-4.731660461E-1,9.453591156E0,9.572050358E0
8.981179167E-2,1.445543976E0,-5.266049194E-1,9.658065948E0,9.779833741E0
9.984379169E-2,1.467398529E0,-6.188131714E-1,9.840237122E0,9.968272408E0
1.098747917E-1,1.497935028E0,-6.483018494E-1,9.983788605E0,1.011633034E1
1.199057917E-1,1.478176117E0,-6.177653503E-1,1.007120682E1,1.019783533E1
1.299377917E-1,1.419797516E0,-5.545967102E-1,1.006911118E1,1.018383044E1
1.399687917E-1,1.397194519E0,-4.813989258E-1,1.002001328E1,1.012840380E1
1.499997917E-1,1.379830627E0,-4.082011414E-1,9.927355957E0,1.003109949E1
1.600317917E-1,1.333576813E0,-3.625460815E-1,9.824819183E0,9.921539133E0
1.700627917E-1,1.279688873E0,-3.299139404E-1,9.732461243E0,9.821774211E0
1.800937917E-1,1.250499573E0,-3.005749512E-1,9.689650269E0,9.774631288E0
1.901257917E-1,1.248553619E0,-2.796185303E-1,9.674531708E0,9.758772281E0
2.001567917E-1,1.271905060E0,-2.893482971E-1,9.681716766E0,9.769191597E0
2.101887917E-1,1.320104828E0,-3.122506714E-1,9.708511047E0,9.802824287E0
2.202197917E-1,1.374142456E0,-3.257226562E-1,9.760902100E0,9.862533779E0
2.302507917E-1,1.399888916E0,-3.668870544E-1,9.800719299E0,9.906987124E0
2.402827917E-1,1.410367126E0,-3.992198181E-1,9.829459534E0,9.938148048E0
2.503137917E-1,1.425485687E0,-4.200265503E-1,9.873767395E0,9.984974428E0
2.603447917E-1,1.401834869E0,-4.330494690E-1,9.859247589E0,9.967820016E0
