"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.696833351E-3,1.200653229E0,-4.156855774E-1,1.048315018E1,1.055986744E1
1.172883331E-2,1.215472412E0,-3.799099731E-1,1.019769379E1,1.027689950E1
2.175983333E-2,1.243913269E0,-3.379971313E-1,9.843979340E0,9.928015488E0
3.179083334E-2,1.287322998E0,-2.315684509E-1,9.542506256E0,9.631731417E0
4.182283336E-2,1.315165100E0,-1.246907043E-1,9.321565704E0,9.414711583E0
5.185383331E-2,1.326092377E0,-4.909790039E-2,9.158404999E0,9.254043101E0
6.188483333E-2,1.382375336E0,1.796264648E-3,9.148974609E0,9.252821256E0
7.191683335E-2,1.432820435E0,4.340972900E-3,9.229656830E0,9.340211905E0
8.194783336E-2,1.470991058E0,-5.179229736E-2,9.454040222E0,9.567934660E0
9.197983332E-2,1.481169891E0,-1.386117554E-1,9.704469452E0,9.817830963E0
1.020108333E-1,1.486259308E0,-2.154020691E-1,9.928403778E0,1.004134286E1
1.120418333E-1,1.458566895E0,-3.115022278E-1,1.005129822E1,1.016135064E1
1.227008334E-1,1.418001251E0,-3.393443298E-1,1.010054581E1,1.020523923E1
1.327318333E-1,1.371747437E0,-3.293151855E-1,1.007090744E1,1.016923381E1
1.427628333E-1,1.329834595E0,-2.986289978E-1,9.974507904E0,1.006719659E1
1.527948334E-1,1.323847046E0,-2.631527710E-1,9.867630157E0,9.959515315E0
1.628258334E-1,1.323098602E0,-2.288740540E-1,9.769584045E0,9.861427162E0
1.728568333E-1,1.310225372E0,-2.067201233E-1,9.673034821E0,9.763556031E0
1.828888333E-1,1.307081909E0,-1.968406677E-1,9.595795441E0,9.686407977E0
1.929198334E-1,1.312770081E0,-1.947450256E-1,9.590855713E0,9.682241694E0
2.029508334E-1,1.329535217E0,-2.076182556E-1,9.629625092E0,9.723191278E0
2.129828333E-1,1.347048798E0,-2.119592285E-1,9.706116028E0,9.801436401E0
2.230138333E-1,1.368304596E0,-2.375559998E-1,9.783056030E0,9.881137364E0
2.330448334E-1,1.379531250E0,-2.417472839E-1,9.848320312E0,9.947409773E0
2.430768333E-1,1.373843079E0,-2.637515259E-1,9.876910858E0,9.975488849E0
2.531078333E-1,1.363813934E0,-2.580633545E-1,9.888885956E0,9.985822479E0
2.631398333E-1,1.343456268E0,-2.513273621E-1,9.863139496E0,9.957387253E0
2.731708334E-1,1.325343933E0,-2.300715637E-1,9.819430389E0,9.911139321E0
2.832018333E-1,1.316212921E0,-2.100132751E-1,9.781858521E0,9.872247877E0
2.932338333E-1,1.308429108E0,-1.914518738E-1,9.737251282E0,9.826632336E0
3.032639167E-1,1.310225372E0,-1.694476318E-1,9.725575562E0,9.814898014E0
3.132949166E-1,1.308129730E0,-1.770817566E-1,9.716294861E0,9.805556953E0
3.233269167E-1,1.328786774E0,-1.818717957E-1,9.747430115E0,9.839265495E0
3.333579167E-1,1.340911560E0,-2.038760376E-1,9.755812683E0,9.849644174E0
3.433889167E-1,1.351539459E0,-2.118095398E-1,9.784552917E0,9.879726615E0
3.534209167E-1,1.361718292E0,-2.306703186E-1,9.795929260E0,9.892811308E0
3.634519167E-1,1.362317047E0,-2.297721863E-1,9.793085175E0,9.890056634E0
3.734829167E-1,1.361119537E0,-2.381547546E-1,9.792935486E0,9.889941836E0
3.835149167E-1,1.364263000E0,-2.568658447E-1,9.774374084E0,9.872465869E0
3.935459167E-1,1.357227631E0,-2.447410583E-1,9.772128754E0,9.868964759E0
4.035769167E-1,1.360969849E0,-2.517764282E-1,9.771230621E0,9.868767813E0
4.136089167E-1,1.361568604E0,-2.420466614E-1,9.756561127E0,9.854082437E0
4.236399167E-1,1.359772339E0,-2.487826538E-1,9.764494629E0,9.861857278E0
4.336719167E-1,1.358574829E0,-2.372566223E-1,9.767638092E0,9.864520777E0
4.437029167E-1,1.338815918E0,-2.278262329E-1,9.768685913E0,9.862634401E0
4.537339167E-1,1.322050781E0,-2.266287231E-1,9.752519531E0,9.844329132E0
4.637659166E-1,1.321452026E0,-2.272274780E-1,9.772128754E0,9.863689379E0
4.737969167E-1,1.337319031E0,-2.228865051E-1,9.819729767E0,9.912880171E0
4.838279167E-1,1.368454285E0,-1.902543640E-1,9.837393036E0,9.933940084E0
4.938599167E-1,1.358275452E0,-1.736389160E-1,9.828561401E0,9.923491417E0
5.038909166E-1,1.335822144E0,-1.492396545E-1,9.755363617E0,9.847528247E0
5.139219167E-1,1.306333466E0,-1.574725342E-1,9.709109802E0,9.797862924E0
5.239539167E-1,1.275497589E0,-1.851649475E-1,9.732461243E0,9.817432556E0
5.339849167E-1,1.282832336E0,-2.022294617E-1,9.774523773E0,9.860419390E0
5.440159166E-1,1.279838562E0,-1.996847534E-1,9.722731476E0,9.808637423E0
5.540479167E-1,1.277892609E0,-1.930984497E-1,9.717642059E0,9.803206808E0
5.640789167E-1,1.334474945E0,-2.504292297E-1,9.836345215E0,9.929613556E0
5.741109167E-1,1.369801483E0,-2.677931213E-1,9.853409729E0,9.951771327E0
