"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.430995000E-1,1.178499298E0,4.625381470E-2,9.796078949E0,9.866821311E0
6.531315000E-1,1.209484863E0,1.332229614E-2,9.840087433E0,9.914149071E0
6.631625000E-1,1.217867432E0,-2.005828857E-2,9.854457550E0,9.929447972E0
6.731945000E-1,1.230890350E0,-1.571731567E-2,9.846524048E0,9.923173581E0
6.832255000E-1,1.235830078E0,-4.041595459E-3,9.819580078E0,9.897042246E0
6.932575000E-1,1.225351868E0,-1.197509766E-2,9.797126770E0,9.873465630E0
7.032885000E-1,1.212778015E0,-3.891906738E-3,9.793234863E0,9.868044120E0
7.133205000E-1,1.205443268E0,-3.592529297E-3,9.759704590E0,9.833866994E0
7.233525000E-1,1.197360077E0,-1.017883301E-2,9.774374084E0,9.847444517E0
7.333835000E-1,1.183888092E0,-6.436614990E-3,9.759105835E0,9.830655072E0
7.434155000E-1,1.191821594E0,1.466949463E-2,9.772877197E0,9.845292409E0
7.534465000E-1,1.206042023E0,-1.646575928E-3,9.789642334E0,9.863652320E0
7.634785000E-1,1.219364319E0,1.511856079E-2,9.792935486E0,9.868569468E0
7.735095000E-1,1.211430817E0,4.071533203E-2,9.820627899E0,9.895148038E0
7.835415000E-1,1.204096069E0,4.984634399E-2,9.831405487E0,9.904991966E0
7.935725000E-1,1.208736420E0,5.748046875E-2,9.810299377E0,9.884650809E0
8.036045000E-1,1.187630310E0,7.214996338E-2,9.815688171E0,9.887537896E0
8.136355000E-1,1.185384979E0,7.574249268E-2,9.832153931E0,9.903642027E0
8.236675000E-1,1.190474396E0,7.738906860E-2,9.814490662E0,9.886730769E0
8.336985000E-1,1.181343384E0,7.289840698E-2,9.815239105E0,9.886344373E0
8.437305000E-1,1.194965057E0,6.062393188E-2,9.818681946E0,9.891315984E0
8.537615000E-1,1.209035797E0,4.969665527E-2,9.825867004E0,9.900095944E0
8.637935000E-1,1.207688599E0,3.233276367E-2,9.836644592E0,9.910556694E0
8.738245000E-1,1.220412140E0,3.592529297E-3,9.817185059E0,9.892751951E0
8.838565000E-1,1.235830078E0,-4.490661621E-3,9.803413696E0,9.881002796E0
8.938885000E-1,1.223854980E0,-4.041595459E-3,9.755513306E0,9.831982364E0
9.039195000E-1,1.220711517E0,-6.137237549E-3,9.732012177E0,9.808273817E0
9.139515000E-1,1.199156342E0,-2.080673218E-2,9.751621399E0,9.825096883E0
9.239830000E-1,1.234482880E0,-4.101470947E-2,9.810149689E0,9.887601686E0
9.340150000E-1,1.266965332E0,-3.592529297E-2,9.827812958E0,9.909207804E0
9.440460000E-1,1.275048523E0,-3.532653809E-2,9.821526031E0,9.904007789E0
9.540780000E-1,1.268911285E0,-3.547622681E-2,9.787097626E0,9.869076672E0
9.641090000E-1,1.254990234E0,-2.439926147E-2,9.784552917E0,9.864738801E0
9.741410000E-1,1.225651245E0,-3.308120728E-2,9.789342957E0,9.865827429E0
9.841720000E-1,1.228944397E0,-2.799179077E-2,9.792636108E0,9.869488833E0
9.942040000E-1,1.222507782E0,1.047821045E-2,9.732461243E0,9.808946779E0
1.004235000E0,1.194366302E0,3.023712158E-2,9.618997192E0,9.692911437E0
1.014267000E0,1.162482605E0,1.496887207E-2,9.741891632E0,9.811016382E0
1.024298000E0,1.229543152E0,-5.658233643E-2,9.894274750E0,9.970539140E0
1.034330000E0,1.322350159E0,-3.742218018E-2,9.918973389E0,1.000679986E1
1.044361000E0,1.343905334E0,-7.200027466E-2,9.859397278E0,9.950828120E0
1.054393000E0,1.283880157E0,-4.924758911E-2,9.800719299E0,9.884577501E0
1.064425000E0,1.240470428E0,-3.412902832E-2,9.746831360E0,9.825510329E0
1.074456000E0,1.231638794E0,-3.218307495E-2,9.795480194E0,9.872659323E0
1.084488000E0,1.244811401E0,6.137237549E-3,9.842482452E0,9.920889774E0
1.094519000E0,1.221759338E0,7.454498291E-2,9.801318054E0,9.877453540E0
1.104551000E0,1.219663696E0,1.172062683E-1,9.720336456E0,9.797257660E0
1.114582000E0,1.245559845E0,1.228944397E-1,9.695488129E0,9.775940488E0
1.124614000E0,1.252295837E0,1.203497314E-1,9.724078674E0,9.805122895E0
1.134645000E0,1.260828094E0,8.427474976E-2,9.787995758E0,9.869227461E0
1.144677000E0,1.260678406E0,5.224136353E-2,9.841734009E0,9.922286405E0
1.154708000E0,1.233584747E0,1.092727661E-2,9.845027161E0,9.922016455E0
1.164740000E0,1.225651245E0,-2.963836670E-2,9.857451324E0,9.933400527E0
1.174771000E0,1.219514008E0,-5.912704468E-2,9.855804749E0,9.931142818E0
1.184803000E0,1.252744904E0,-6.256988525E-2,9.823322296E0,9.903077588E0
1.194834000E0,1.252445526E0,-6.930587769E-2,9.773026886E0,9.853196315E0
1.204866000E0,1.248703308E0,-6.661148071E-2,9.736951904E0,9.816920567E0
1.214897000E0,1.262624359E0,-7.065307617E-2,9.738149414E0,9.819916809E0
1.224929000E0,1.237476654E0,-8.577163696E-2,9.748927002E0,9.827526796E0
1.234960000E0,1.255588989E0,-7.289840698E-2,9.763297119E0,9.843972192E0
1.244992000E0,1.276844788E0,-7.125183105E-2,9.793384552E0,9.876527245E0
1.255024000E0,1.272653503E0,-6.152206421E-2,9.809550934E0,9.891952357E0
1.265055000E0,1.279988251E0,-5.074447632E-2,9.819131012E0,9.902337035E0
1.275087000E0,1.279838562E0,-3.128494263E-2,9.785001984E0,9.868395478E0
1.285118000E0,1.291065216E0,7.484436035E-4,9.832602997E0,9.917002150E0
1.295150000E0,1.291065216E0,4.011657715E-2,9.831555176E0,9.916044368E0
1.305181000E0,1.284478912E0,4.505630493E-2,9.747280426E0,9.831652549E0
1.315213000E0,1.260528717E0,1.945953369E-2,9.756561127E0,9.837672303E0
1.325244000E0,1.273551636E0,5.239105225E-3,9.803114319E0,9.885495009E0
